,humidity,precipMM,tempC,windspeedKmph,HeatIndexC
36048,49,0.0,18,4,18
36049,49,0.0,18,4,18
36050,49,0.0,18,4,18
36051,49,0.0,17,5,17
36052,46,0.0,17,6,17
36053,44,0.0,18,7,18
36054,41,0.0,18,8,18
36055,36,0.0,19,8,19
36056,32,0.0,22,7,24
36057,27,0.0,25,7,26
36058,24,0.0,27,6,27
36059,21,0.0,29,5,28
36060,18,0.0,31,3,29
36061,19,0.0,31,4,29
36062,19,0.0,31,5,29
36063,20,0.0,30,5,28
36064,25,0.0,29,5,27
36065,31,0.0,27,5,26
36066,36,0.0,25,5,25
36067,37,0.0,23,4,24
36068,38,0.0,22,3,24
36069,38,0.0,21,2,24
36070,39,0.0,21,3,21
36071,39,0.0,21,5,21
36072,39,0.0,20,6,20
36073,39,0.0,19,7,19
36074,40,0.0,18,8,18
36075,40,0.0,18,9,18
36076,40,0.0,18,9,18
36077,40,0.0,18,10,18
36078,40,0.0,18,10,18
36079,35,0.0,19,11,19
36080,31,0.0,22,12,24
36081,26,0.0,26,13,26
36082,24,0.0,27,11,27
36083,23,0.0,29,9,28
36084,21,0.0,30,6,29
36085,22,0.0,31,6,29
36086,24,0.0,30,6,28
36087,25,0.0,29,6,28
36088,31,0.0,29,7,27
36089,37,0.0,27,8,26
36090,43,0.0,24,8,25
36091,45,0.0,23,7,24
36092,47,0.0,22,6,24
36093,49,0.0,21,5,21
36094,50,0.0,19,4,19
36095,51,0.0,19,3,19
36096,52,0.0,19,3,19
36097,53,0.0,18,3,18
36098,53,0.0,18,3,18
36099,53,0.0,17,3,17
36100,48,0.0,19,4,19
36101,42,0.0,19,5,19
36102,36,0.0,20,6,20
36103,32,0.0,22,6,24
36104,28,0.0,24,6,25
36105,24,0.0,27,6,27
36106,22,0.0,29,7,27
36107,20,0.0,30,7,28
36108,19,0.0,31,8,29
36109,19,0.0,31,9,29
36110,20,0.0,30,9,28
36111,21,0.0,29,10,27
36112,27,0.0,28,10,27
36113,33,0.0,26,9,26
36114,39,0.0,24,9,24
36115,41,0.0,22,8,24
36116,43,0.0,21,7,21
36117,45,0.0,20,6,20
36118,47,0.0,18,5,18
36119,49,0.0,18,4,18
36120,52,0.0,17,3,17
36121,49,0.0,17,3,17
36122,46,0.0,17,3,17
36123,43,0.0,17,3,17
36124,37,0.0,19,4,19
36125,32,0.0,19,4,19
36126,26,0.0,20,5,20
36127,24,0.0,21,5,24
36128,23,0.0,24,4,25
36129,22,0.0,27,4,26
36130,21,0.0,28,5,27
36131,20,0.0,30,6,28
36132,20,0.0,31,6,29
36133,21,0.0,31,8,29
36134,22,0.0,30,9,28
36135,23,0.0,29,10,27
36136,28,0.0,28,10,27
36137,34,0.0,26,10,25
36138,40,0.0,24,10,24
36139,42,0.0,22,9,24
36140,44,0.0,21,8,21
36141,47,0.0,20,7,20
36142,49,0.0,18,6,18
36143,50,0.0,18,5,18
36144,52,0.0,17,4,17
36145,50,0.0,17,4,17
36146,48,0.0,17,4,17
36147,46,0.0,17,4,17
36148,41,0.0,19,5,19
36149,36,0.0,19,6,19
36150,31,0.0,20,8,20
36151,27,0.0,21,7,24
36152,23,0.0,23,6,24
36153,19,0.0,27,5,26
36154,16,0.0,29,5,27
36155,13,0.0,31,5,28
36156,11,0.0,32,5,30
36157,12,0.0,32,5,29
36158,13,0.0,32,6,30
36159,14,0.0,31,6,29
36160,19,0.0,28,7,26
36161,25,0.0,28,7,26
36162,31,0.0,25,8,25
36163,32,0.0,23,7,24
36164,33,0.0,22,6,24
36165,34,0.0,20,6,20
36166,33,0.0,19,6,19
36167,32,0.0,19,6,19
36168,31,0.0,18,6,18
36169,32,0.0,18,6,18
36170,32,0.0,18,6,18
36171,33,0.0,18,6,18
36172,35,0.0,18,7,18
36173,36,0.0,19,8,19
36174,38,0.0,20,8,20
36175,33,0.0,21,9,21
36176,28,0.0,23,10,25
36177,23,0.0,26,11,26
36178,22,0.0,28,8,27
36179,20,0.0,30,6,28
36180,19,0.0,31,3,29
36181,20,0.0,32,4,29
36182,21,0.0,31,4,29
36183,22,0.0,30,5,28
36184,27,0.0,29,10,27
36185,33,0.0,27,7,26
36186,39,0.0,25,8,25
36187,40,0.0,24,7,25
36188,41,0.0,23,7,24
36189,42,0.0,22,6,24
36190,42,0.0,20,6,20
36191,41,0.0,19,6,19
36192,41,0.0,19,5,19
36193,41,0.0,19,5,19
36194,42,0.0,18,5,18
36195,42,0.0,18,5,18
36196,41,0.0,20,6,20
36197,39,0.0,20,6,20
36198,37,0.0,20,7,20
36199,32,0.0,21,7,24
36200,28,0.0,23,7,25
36201,23,0.0,26,7,26
36202,21,0.0,28,5,27
36203,20,0.0,29,3,28
36204,18,0.0,30,1,29
36205,19,0.0,30,1,29
36206,20,0.0,31,1,29
36207,21,0.0,30,1,28
36208,27,0.0,28,5,27
36209,34,0.0,27,6,26
36210,40,0.0,25,3,25
36211,41,0.0,23,4,24
36212,41,0.0,22,5,24
36213,42,0.0,21,6,24
36214,42,0.0,20,6,20
36215,42,0.0,19,6,19
36216,42,0.0,19,5,19
36217,42,0.0,19,5,19
36218,42,0.0,19,5,19
36219,42,0.0,18,5,18
36220,39,0.0,19,5,19
36221,36,0.0,20,6,20
36222,33,0.0,21,6,21
36223,29,0.0,22,5,24
36224,25,0.0,24,4,25
36225,21,0.0,27,4,27
36226,20,0.0,29,3,28
36227,20,0.0,30,3,29
36228,19,0.0,31,3,29
36229,20,0.0,32,5,29
36230,20,0.0,30,7,28
36231,21,0.0,29,9,27
36232,26,0.0,28,10,27
36233,31,0.0,27,11,26
36234,35,0.0,24,12,25
36235,37,0.0,23,11,24
36236,38,0.0,22,10,24
36237,40,0.0,21,9,21
36238,40,0.0,20,8,20
36239,40,0.0,19,7,19
36240,40,0.0,19,6,19
36241,41,0.0,18,5,18
36242,41,0.0,18,4,18
36243,41,0.0,18,4,18
36244,36,0.0,20,3,20
